id	view	input	effect_id	explain	microsoft_sou	sogou_sou
jp_8	3줄 요약	3ㅈㅜㄹ ㅇㅛㅇㅑㄱ		인생은 짧기 때문에		
jp_9	4대 명검	4ㄷㅐ ㅁㅕㅇㄱㅓㅁ		정기점검, 임시점검, 긴급점검, 연장점검 		
jp_10	(쑻)	ㅆㅜㅊ		(웃음)		
jp_11	~는 신이고 나는 무적이다	ㄴㅡㄴ ㅅㅣㄴㅇㅣㄱㅗ ㄴㅏㄴㅡㄴ ㅁㅜㅈㅓㄱㅇㅣㄷㅏ		씨발 깝치지 마		
jp_12	Ang?	ang		오 마이 숄더!		
jp_13	GOAT	goat		또 당신입니까 GOAT		
jp_14	PDF	pdf		땄습니다 ㅅㄱ염		
jp_15	가능	ㄱㅏㄴㅡㅇ		불가능		
jp_16	가오	ㄱㅏㅇㅗ		자존심이나 명예를 의미.		
jp_17	가성비	ㄱㅏㅅㅓㅇㅂㅣ		좋은 제품을 구매하는 게 좋아.		
jp_18	가심비	ㄱㅏㅅㅣㅁㅂㅣ		비싸지만 마음이 편해져.		
jp_19	가즈아	ㄱㅏㅈㅡㅇㅏ		도박 중독 상담은 1336		
jp_20	가챠	ㄱㅏㅊㅑ		내 돈 돌려줘!		
jp_21	각도기	ㄱㅏㄱㄷㅗㄱㅣ		고소미를 먹지 않으려면 잘 써야하는 것.		
jp_22	갓겜	ㄱㅏㅅㄱㅔㅁ		게임성 등 여러 면에서 훌륭한 게임.		
jp_23	갑분싸	ㄱㅏㅂㅂㅜㄴㅆㅏ		갑자기 분위기 싸해짐		
jp_24	개드립	ㄱㅐㄷㅡㄹㅣㅂ		개 같은 애드립.		
jp_25	개이득	ㄱㅐㅇㅣㄷㅡㄱ		심봤다!		
jp_26	개추	ㄱㅐㅊㅜ		개념글 추천.		
jp_27	게이	ㄱㅔㅇㅣ		게시판 이용자.		
jp_28	겜안분	ㄱㅔㅁㅇㅏㄴㅂㅜㄴ		겜 안하는 분탕.		
jp_29	거시기	ㄱㅓㅅㅣㄱㅣ		어떤 문장에든 갖다 붙여도 말이 되는 마법의 단어.		
jp_30	고소미	ㄱㅗㅅㅗㅁㅣ		너 고소!		
jp_31	고스로리	ㄱㅗㅅㅡㄹㅗㄹㅣ		으스스하면서도 예스러운 복장을 뜻함.		
jp_32	고양이가 썼습니다	ㄱㅗㅇㅑㅇㅇㅣㄱㅏ ㅆㅓㅆㅅㅡㅂㄴㅣㄷㅏ		야옹~ =^ x ^=		
jp_33	고인물	ㄱㅗㅇㅣㄴㅁㅜㄹ		곧 썩게 될 물.		
jp_34	관종	ㄱㅘㄴㅈㅗㅇ		관심을 주세요!		
jp_35	구라	ㄱㅜㄹㅏ		거짓말을 의미.		
jp_36	국룰	ㄱㅜㄱㄹㅜㄹ		읿반적으로 통용되는 규칙.		
jp_37	국밥	ㄱㅜㄱㅂㅏㅂ		비싼 스테이크보다는 뜨끈한 국밥 한 그릇!		
jp_38	굿즈	ㄱㅜㅅㅈㅡ		초텐 굿즈는 internetangel.shop에 있어!		
jp_39	궁예질	ㄱㅜㅇㅇㅖㅈㅣㄹ		남의 마음을 읽는 행위.		
jp_40	귀요미	ㄱㅟㅇㅛㅁㅣ		마치 최고귀염뽀짝천사처럼!		
jp_41	그돈씨	ㄱㅡㄷㅗㄴㅆㅣ		그딴 걸 살 바에는 돈을 조금만 더 보태서 더 좋은 것을 사라는 의미.		
jp_42	긁?	ㄱㅡㄺ		긁?		
jp_43	급식충	ㄱㅡㅂㅅㅣㄱㅊㅜㅇ		무개념 청소년들을 비하적으로 이르는 명칭.		
